"","title","link"
"1","台生技廠利多如雨後春筍，猛放閃","https://finance.technews.tw/2018/10/07/taiwan-biotechnology-stock/"
"2","冷靜期增加一倍，刪除 Facebook 帳號後 30 天內可反悔","https://technews.tw/2018/10/07/facebook-increases-account-deletion-grace-period-to-30-days/"
"3","舊手機、電腦螢幕都能回收再生？這 10 人做出德國大廠嚇一跳的科技","https://technews.tw/2018/10/07/itri-develops-waste-liquid-crystal-recycling-technology/"
"4","市值超過 900 億！比麥當勞貴兩倍、出餐慢 15 倍，它如何擄獲顧客的心？","https://finance.technews.tw/2018/10/07/do-basic-work/"
"5","雷諾發表自動駕駛 Z-Ultimo 概念車","https://technews.tw/2018/10/07/renault-ez-ultimo-at-paris-motor-show/"
"6","訊息選擇有次序，大腦內建聲音過濾放大系統？","https://technews.tw/2018/10/07/does-your-brain-let-you-hear-your-own-footsteps/"
"7","深入百年車廠，對抗矽谷的神祕基地","https://technews.tw/2018/10/07/bmw-rd-center/"
"8","放棄然後斷氣，「精神死亡」如何讓人走向實際死亡","https://technews.tw/2018/10/07/give-up-itis-when-people-just-give-up-and-die/"
"9","亞馬遜帝國揮軍，飆漲好戲還有續集","https://finance.technews.tw/2018/10/07/amazons-business-kingdom-will-continue-to-expand/"
"10","蘋果導入「Apple Service Toolkit 2」輔助維修工具，想自己或找第三方維修新的 MacBook 沒這工具也無法開機","https://technews.tw/2018/10/06/apple-is-using-proprietary-software-to-lock-macbook-pros-and-imac-pros-from-third-party-repairs/"
"11","蘋果亞馬遜否認遭中國駭，英國網路安全中心相挺","https://technews.tw/2018/10/06/national-cyber-security-centre-talk-about-deny-chip-event/"
"12","研究：閱讀是大腦視覺和聽覺區域的團隊合作","https://technews.tw/2018/10/06/reading-is-different-brain-parts-team-work/"
"13","針對《要塞英雄》作弊者，駭客藉外掛偷取玩家比特幣","https://technews.tw/2018/10/06/cryptocurrency-scammers-are-stealing-bitcoin-from-fortnite-hackers/"
"14","恐導致車禍，豐田全球召修 240 萬輛油電車","https://technews.tw/2018/10/06/toyota-car-repair/"
"15","新動物研究表明，深空旅行將嚴重損毀人體胃腸","https://technews.tw/2018/10/06/galactic-cosmic-radiation-space-travel-gastrointestinal-cancer/"
